Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
-------------------------------------------------------------------------------------------------------------------
       516        0.007589        0.000015             0.019547             0.000038 _draw_borders                  views\bordered_pictograph_view.py:92
       516        0.003562        0.000007             0.093974             0.000182 paintEvent                     views\bordered_pictograph_view.py:75
       157        0.003121        0.000020             0.090748             0.000578 paintEvent                     main_background_widget\main_background_widget.py:36
        15        0.001056        0.000070             0.002408             0.000161 resize_beats                   legacy_beat_frame\beat_frame_resizer.py:52
         4        0.000980        0.000245             0.001008             0.000252 __init__                       grid\grid_item.py:13
        20        0.000955        0.000048             0.007052             0.000353 paintEvent                     views\GE_pictograph_view.py:83
      1485        0.000844        0.000001             0.002934             0.000002 boundingRect                   tka_glyph\tka_glyph.py:35
         7        0.000707        0.000101             0.007319             0.001046 _remove_all_graphics_effects   fade_manager\graphics_effect_remover.py:28
        21        0.000632        0.000030             0.001164             0.000055 paintEvent                     legacy_beat_frame\beat_selection_overlay.py:114
        15        0.000444        0.000030             0.001325             0.000088 resize_button_panel            sequence_workbench\sequence_workbench_button_panel.py:249
       135        0.000297        0.000002             0.000440             0.000003 update_size                    sequence_workbench\workbench_button.py:14
       233        0.000275        0.000001             0.002363             0.000010 resizeEvent                    views\base_pictograph_view.py:39
         2        0.000259        0.000130             0.000311             0.000156 set_letter                     tka_glyph\tka_letter.py:33
        62        0.000249        0.000004             0.006297             0.000102 resizeEvent                    styles\styled_button.py:452
        26        0.000238        0.000009             0.002023             0.000078 resizeEvent                    ori_picker_widget\clickable_ori_label.py:67
         6        0.000235        0.000039             0.001096             0.000183 load_number_svg                turns_number_group\turns_number.py:47
        72        0.000197        0.000003             0.000947             0.000013 resize_option_view             views\option_view.py:38
        94        0.000178        0.000002             0.002000             0.000021 resizeEvent                    views\codex_pictograph_view.py:22
        26        0.000163        0.000006             0.000229             0.000009 resizeEvent                    ori_picker_widget\ori_text_label.py:21
       144        0.000162        0.000001             0.000397             0.000003 update_border_widths           views\bordered_pictograph_view.py:67
       990        0.000150        0.000000             0.000229             0.000000 ensure_positive_size           utils\ui_utils.py:14
        36        0.000149        0.000004             0.003655             0.000102 resizeEvent                    prop_rot_dir_button_manager\prop_rot_dir_button.py:38
        15        0.000145        0.000010             0.000259             0.000017 calculate_dimensions           legacy_beat_frame\beat_frame_resizer.py:28
        72        0.000144        0.000002             0.003104             0.000043 resizeEvent                    views\bordered_pictograph_view.py:134
        15        0.000136        0.000009             0.001496             0.000100 resizeEvent                    sequence_workbench\sequence_workbench_button_panel.py:245
        65        0.000131        0.000002             0.001441             0.000022 resizeEvent                    views\beat_view.py:54
         8        0.000121        0.000015             0.000164             0.000021 __init__                       grid\non_radial_point.py:8
        10        0.000119        0.000012             0.010068             0.001007 resizeEvent                    turns_box\turns_box.py:55
        75        0.000113        0.000002             0.007479             0.000100 update_appearance              styles\styled_button.py:121
         8        0.000108        0.000014             0.000216             0.000027 _get_generator_key             turns_tuple_generator\turns_tuple_generator.py:84
         8        0.000101        0.000013             0.002960             0.000370 setEnabled                     turns_display_frame\adjust_turns_button.py:105
        15        0.000099        0.000007             0.000128             0.000009 resizeEvent                    scroll\section_widget.py:88
         4        0.000097        0.000024             0.000097             0.000024 currently_selected_beat_view   legacy_beat_frame\beat_frame_getter.py:54
        20        0.000095        0.000005             0.000177             0.000009 resizeEvent                    adjustment_panel\base_adjustment_box_header_widget.py:64
        75        0.000093        0.000001             0.000093             0.000001 _get_beautiful_context_styles  styles\styled_button.py:154
        15        0.000090        0.000006             0.000154             0.000010 get_cols                       legacy_beat_frame\beat_frame_layout_manager.py:42
         2        0.000086        0.000043             0.000113             0.000056 resizeEvent                    widgets\legacy_option_picker.py:59
        14        0.000086        0.000006             0.009319             0.000666 resizeEvent                    ori_picker_box\ori_picker_box.py:52
        20        0.000085        0.000004             0.001998             0.000100 resizeEvent                    ori_picker_widget\ori_picker_widget.py:64
         4        0.000084        0.000021             0.014335             0.003584 resizeEvent                    graph_editor\legacy_graph_editor.py:66
        14        0.000076        0.000005             0.000552             0.000039 resizeEvent                    direct_set_dialog\direct_set_turns_button.py:31
        75        0.000072        0.000001             0.000072             0.000001 _get_safe_context_properties   styles\styled_button.py:141
        24        0.000071        0.000003             0.000094             0.000004 get_graph_editor_height        graph_editor\legacy_graph_editor.py:63
         6        0.000065        0.000011             0.000242             0.000040 resizeEvent                    views\GE_pictograph_view.py:109
         8        0.000063        0.000008             0.000732             0.000092 resize_buttons                 ori_picker_widget\ori_button.py:24
        16        0.000063        0.000004             0.000158             0.000010 update_overlay_position        legacy_beat_frame\beat_selection_overlay.py:105
         8        0.000059        0.000007             0.001263             0.000158 setEnabled                     styles\styled_button.py:410
